Timestamp,Event,SequenceNum,Detail
2026-06-07T20:56:04.3726224Z,PacketSent,0,"size=1069"
2026-06-07T20:56:04.3743180Z,AckReceived,0,""
2026-06-07T20:56:04.3743834Z,PacketSent,1,"size=1069"
2026-06-07T20:56:04.3773497Z,AckReceived,1,""
2026-06-07T20:56:04.3774490Z,PacketSent,2,"size=1069"
2026-06-07T20:56:04.3778045Z,AckReceived,2,""
2026-06-07T20:56:04.3778451Z,PacketSent,3,"size=1069"
2026-06-07T20:56:04.3780078Z,AckReceived,3,""
2026-06-07T20:56:04.3780461Z,PacketSent,4,"size=1069"
2026-06-07T20:56:04.3781685Z,AckReceived,4,""
2026-06-07T20:56:04.3782279Z,PacketSent,5,"size=1069"
2026-06-07T20:56:04.3783558Z,AckReceived,5,""
2026-06-07T20:56:04.3783950Z,PacketSent,6,"size=1069"
2026-06-07T20:56:04.3785264Z,AckReceived,6,""
2026-06-07T20:56:04.3785572Z,PacketSent,7,"size=1069"
2026-06-07T20:56:04.3787019Z,AckReceived,7,""
2026-06-07T20:56:04.3787379Z,PacketSent,8,"size=1069"
2026-06-07T20:56:04.3788449Z,AckReceived,8,""
2026-06-07T20:56:04.3788716Z,PacketSent,9,"size=1069"
2026-06-07T20:56:04.3790000Z,AckReceived,9,""
2026-06-07T20:56:04.3791085Z,PacketSent,10,"size=1069"
2026-06-07T20:56:04.3792096Z,AckReceived,10,""
2026-06-07T20:56:04.8834500Z,Timeout,11,""
2026-06-07T20:56:04.8839708Z,Retransmission,11,""
2026-06-07T20:56:04.8840697Z,PacketSent,11,"size=1069"
2026-06-07T20:56:04.8844855Z,AckReceived,11,""
2026-06-07T20:56:04.8845394Z,PacketSent,12,"size=1069"
2026-06-07T20:56:04.8848498Z,AckReceived,12,""
2026-06-07T20:56:04.8848870Z,PacketSent,13,"size=1069"
2026-06-07T20:56:04.8851301Z,AckReceived,13,""
2026-06-07T20:56:05.3949213Z,Timeout,14,""
2026-06-07T20:56:05.3950443Z,Retransmission,14,""
2026-06-07T20:56:05.9046007Z,Timeout,14,""
2026-06-07T20:56:05.9047573Z,Retransmission,14,""
2026-06-07T20:56:05.9048895Z,PacketSent,14,"size=1069"
2026-06-07T20:56:05.9051912Z,AckReceived,14,""
2026-06-07T20:56:05.9052465Z,PacketSent,15,"size=1069"
2026-06-07T20:56:05.9054279Z,AckReceived,15,""
2026-06-07T20:56:05.9054697Z,PacketSent,16,"size=1069"
2026-06-07T20:56:05.9055968Z,AckReceived,16,""
2026-06-07T20:56:05.9056417Z,PacketSent,17,"size=1069"
2026-06-07T20:56:05.9057462Z,AckReceived,17,""
2026-06-07T20:56:05.9057737Z,PacketSent,18,"size=1069"
2026-06-07T20:56:05.9059059Z,AckReceived,18,""
2026-06-07T20:56:05.9059524Z,PacketSent,19,"size=1069"
2026-06-07T20:56:05.9060762Z,AckReceived,19,""
2026-06-07T20:56:05.9061131Z,PacketSent,20,"size=1069"
2026-06-07T20:56:05.9062620Z,AckReceived,20,""
2026-06-07T20:56:05.9063009Z,PacketSent,21,"size=1069"
2026-06-07T20:56:05.9064144Z,AckReceived,21,""
2026-06-07T20:56:05.9064467Z,PacketSent,22,"size=1069"
2026-06-07T20:56:05.9065964Z,AckReceived,22,""
2026-06-07T20:56:05.9066398Z,PacketSent,23,"size=1069"
2026-06-07T20:56:05.9067479Z,AckReceived,23,""
2026-06-07T20:56:05.9067844Z,PacketSent,24,"size=1069"
2026-06-07T20:56:05.9068957Z,AckReceived,24,""
2026-06-07T20:56:05.9069302Z,PacketSent,25,"size=1069"
2026-06-07T20:56:05.9070587Z,AckReceived,25,""
2026-06-07T20:56:05.9070938Z,PacketSent,26,"size=1069"
2026-06-07T20:56:05.9072284Z,AckReceived,26,""
2026-06-07T20:56:05.9072681Z,PacketSent,27,"size=1069"
2026-06-07T20:56:05.9073966Z,AckReceived,27,""
2026-06-07T20:56:05.9074339Z,PacketSent,28,"size=1069"
2026-06-07T20:56:05.9075584Z,AckReceived,28,""
2026-06-07T20:56:05.9075906Z,PacketSent,29,"size=1069"
2026-06-07T20:56:05.9077022Z,AckReceived,29,""
2026-06-07T20:56:05.9077420Z,PacketSent,30,"size=1069"
2026-06-07T20:56:05.9078514Z,AckReceived,30,""
2026-06-07T20:56:05.9078968Z,PacketSent,31,"size=1069"
2026-06-07T20:56:05.9080120Z,AckReceived,31,""
2026-06-07T20:56:05.9080469Z,PacketSent,32,"size=1069"
2026-06-07T20:56:05.9081640Z,AckReceived,32,""
2026-06-07T20:56:05.9081920Z,PacketSent,33,"size=1069"
2026-06-07T20:56:05.9083053Z,AckReceived,33,""
2026-06-07T20:56:05.9083479Z,PacketSent,34,"size=1069"
2026-06-07T20:56:05.9084548Z,AckReceived,34,""
2026-06-07T20:56:05.9084863Z,PacketSent,35,"size=1069"
2026-06-07T20:56:05.9085922Z,AckReceived,35,""
2026-06-07T20:56:05.9086246Z,PacketSent,36,"size=1069"
2026-06-07T20:56:05.9087440Z,AckReceived,36,""
2026-06-07T20:56:05.9087730Z,PacketSent,37,"size=1069"
2026-06-07T20:56:05.9088886Z,AckReceived,37,""
2026-06-07T20:56:05.9089310Z,PacketSent,38,"size=1069"
2026-06-07T20:56:05.9090541Z,AckReceived,38,""
2026-06-07T20:56:05.9090834Z,PacketSent,39,"size=1069"
2026-06-07T20:56:05.9091970Z,AckReceived,39,""
2026-06-07T20:56:05.9092361Z,PacketSent,40,"size=1069"
2026-06-07T20:56:05.9093550Z,AckReceived,40,""
2026-06-07T20:56:05.9093843Z,PacketSent,41,"size=1069"
2026-06-07T20:56:05.9094946Z,AckReceived,41,""
2026-06-07T20:56:05.9095215Z,PacketSent,42,"size=1069"
2026-06-07T20:56:05.9096408Z,AckReceived,42,""
2026-06-07T20:56:05.9096787Z,PacketSent,43,"size=1069"
2026-06-07T20:56:05.9098009Z,AckReceived,43,""
2026-06-07T20:56:05.9098515Z,PacketSent,44,"size=1069"
2026-06-07T20:56:05.9099677Z,AckReceived,44,""
2026-06-07T20:56:05.9100001Z,PacketSent,45,"size=1069"
2026-06-07T20:56:05.9101200Z,AckReceived,45,""
2026-06-07T20:56:05.9101540Z,PacketSent,46,"size=1069"
2026-06-07T20:56:05.9103562Z,AckReceived,46,""
2026-06-07T20:56:05.9104030Z,PacketSent,47,"size=1069"
2026-06-07T20:56:05.9105254Z,AckReceived,47,""
2026-06-07T20:56:05.9105520Z,PacketSent,48,"size=1069"
2026-06-07T20:56:05.9106696Z,AckReceived,48,""
